gene,brain,region,side,value
2479698,182,CBC,L,4.5868
2479698,183,CBC,L,5.48957
2479698,135,DFC,L,4.60007
2479698,135,DFC,R,4.62131
2479698,144,DFC,R,4.42204
2479698,144,DFC,L,4.62613
2479698,182,DFC,L,4.3076
2479698,183,DFC,L,4.24113
2521446,135,CBC,L,8.439219999999999
2521446,144,CBC,L,8.04285
2521446,144,CBC,R,8.39066
2521446,182,CBC,L,8.12815
2521446,183,CBC,L,7.71064
2521446,135,DFC,R,8.98513
2521446,135,DFC,L,8.63287
2521446,144,DFC,L,9.18643
2521446,144,DFC,R,8.90965
2521446,182,DFC,L,8.26488
2521446,183,DFC,L,8.815760000000003
2585236,135,CBC,L,7.08247
2585236,144,CBC,R,7.31578
2585236,144,CBC,L,7.84203
2585236,182,CBC,L,7.987539999999999
2585236,183,CBC,L,6.950139999999998
2585236,135,DFC,R,6.83459
2585236,135,DFC,L,7.0392899999999985
2585236,144,DFC,R,6.56187
2585236,144,DFC,L,6.65217
2585236,182,DFC,L,6.47474
2585236,183,DFC,L,6.67253
2597867,135,CBC,L,5.41335
2597867,144,CBC,R,5.282030000000002
2597867,144,CBC,L,5.747330000000002
2597867,182,CBC,L,5.32077
2597867,183,CBC,L,5.71119
2597867,135,DFC,L,5.1142699999999985
2597867,135,DFC,R,4.96036
2597867,144,DFC,R,5.20376
2597867,144,DFC,L,5.5442
2597867,182,DFC,L,4.66338
2597867,183,DFC,L,5.63839
2614913,135,CBC,L,4.44145
2614913,144,CBC,L,5.02831
2614913,144,CBC,R,5.3377300000000005
2614913,182,CBC,L,5.09951
2614913,183,CBC,L,4.3688699999999985
2614913,135,DFC,L,5.4467
2614913,135,DFC,R,5.37409
2614913,144,DFC,R,6.42074
2614913,144,DFC,L,6.89052
2614913,182,DFC,L,5.57172
2614913,183,DFC,L,4.6890800000000015
2644128,135,CBC,L,7.54815
2644128,144,CBC,R,7.67578
2644128,144,CBC,L,8.01425
2644128,182,CBC,L,7.2599
2644128,183,CBC,L,7.238360000000001
2644128,135,DFC,L,6.85313
2644128,135,DFC,R,7.46215
2644128,144,DFC,R,7.00252
2644128,144,DFC,L,7.53671
2644128,182,DFC,L,7.140739999999999
2644128,183,DFC,L,7.17851
2708498,135,CBC,L,4.93702
2708498,144,CBC,L,5.2822
2708498,144,CBC,R,5.46522
2708498,182,CBC,L,4.46529
2708498,183,CBC,L,5.65348
2708498,135,DFC,L,5.12902
2708498,135,DFC,R,5.32324
2708498,144,DFC,R,4.9455300000000015
2708498,144,DFC,L,5.09347
2708498,182,DFC,L,5.1539199999999985
2708498,183,DFC,L,4.55806
2716953,135,CBC,L,7.14825
2716953,144,CBC,L,6.41372
2716953,144,CBC,R,6.53139
2716953,182,CBC,L,5.2661
2716953,183,CBC,L,6.05273
2716953,135,DFC,R,6.42335
2716953,135,DFC,L,6.27569
2716953,144,DFC,L,7.72733
2716953,144,DFC,R,7.37731
2716953,182,DFC,L,6.54685
2716953,183,DFC,L,5.9411
2783099,135,CBC,L,5.71115
2783099,144,CBC,L,5.4706
2783099,144,CBC,R,5.1029
2783099,182,CBC,L,5.27073
2783099,183,CBC,L,6.118530000000002
2783099,135,DFC,R,6.0515
2783099,135,DFC,L,5.94126
2783099,144,DFC,R,5.37096
2783099,144,DFC,L,5.8794900000000005
2783099,182,DFC,L,6.1639800000000005
2783099,183,DFC,L,5.8977
2821761,135,CBC,L,6.71215
2821761,144,CBC,L,7.77424
2821761,144,CBC,R,7.44195
2821761,182,CBC,L,8.16028
2821761,183,CBC,L,7.068219999999998
2821761,135,DFC,R,7.19229
2821761,135,DFC,L,8.01442
2821761,144,DFC,R,7.6337899999999985
2821761,144,DFC,L,7.4157899999999985
2821761,182,DFC,L,8.08962
2821761,183,DFC,L,7.577039999999998
2837479,135,CBC,L,6.07129
2837479,144,CBC,L,5.14881
2837479,144,CBC,R,5.53806
2837479,182,CBC,L,5.37976
2837479,183,CBC,L,6.06094
2837479,135,DFC,R,5.9542199999999985
2837479,135,DFC,L,5.82679
2837479,144,DFC,R,5.19842
2837479,144,DFC,L,5.27169
2837479,182,DFC,L,5.38509
2837479,183,DFC,L,5.14989
2851274,135,CBC,L,8.97113
2851274,144,CBC,R,9.05522
2851274,144,CBC,L,9.29287
2851274,182,CBC,L,9.95309
2851274,183,CBC,L,8.14382
2851274,135,DFC,R,9.22869
2851274,135,DFC,L,9.61029
2851274,144,DFC,L,8.90869
2851274,144,DFC,R,9.43567
2851274,182,DFC,L,9.29683
2851274,183,DFC,L,9.10841
2867284,135,CBC,L,5.61965
2867284,144,CBC,R,4.93381
2867284,144,CBC,L,4.89171
2867284,182,CBC,L,4.88695
2867284,183,CBC,L,5.9042900000000005
2867284,135,DFC,R,4.89637
2867284,135,DFC,L,5.19921
2867284,144,DFC,L,5.12788
2867284,144,DFC,R,4.73234
2867284,182,DFC,L,5.02589
2867284,183,DFC,L,5.60105
2876897,135,CBC,L,11.4898
2876897,144,CBC,R,9.95778
2876897,144,CBC,L,10.7368
2876897,182,CBC,L,11.5186
2876897,183,CBC,L,10.8708
2876897,135,DFC,R,9.85615
2876897,135,DFC,L,10.4855
2876897,144,DFC,R,10.2029
2876897,144,DFC,L,9.67407
2876897,182,DFC,L,10.2965
2876897,183,DFC,L,10.74
2882834,135,CBC,L,7.94257
2882834,144,CBC,L,7.8944899999999985
2882834,144,CBC,R,7.99818
2882834,182,CBC,L,8.58313
2882834,183,CBC,L,8.63209
2882834,135,DFC,R,9.5944
2882834,135,DFC,L,9.83593
2882834,144,DFC,R,9.10612
2882834,144,DFC,L,8.989239999999997
2882834,182,DFC,L,8.85615
2882834,183,DFC,L,10.0363
2888243,135,CBC,L,10.4297
2888243,144,CBC,L,11.584
2888243,144,CBC,R,11.8176
2888243,182,CBC,L,11.7056
2888243,183,CBC,L,10.9697
2888243,135,DFC,R,11.701
2888243,135,DFC,L,11.8852
2888243,144,DFC,R,11.7139
2888243,144,DFC,L,11.9635
2888243,182,DFC,L,11.3397
2888243,183,DFC,L,11.6926
2890148,135,CBC,L,9.08235
2890148,144,CBC,L,9.01634
2890148,144,CBC,R,8.63771
2890148,182,CBC,L,9.13597
2890148,183,CBC,L,9.53391
2890148,135,DFC,L,7.71271
2890148,135,DFC,R,7.297919999999999
2890148,144,DFC,L,7.208639999999999
2890148,144,DFC,R,7.664060000000001
2890148,182,DFC,L,7.166
2890148,183,DFC,L,7.37245
2901660,135,CBC,L,7.50784
2901660,144,CBC,L,6.38394
2901660,144,CBC,R,6.723
2901660,182,CBC,L,7.344130000000002
2901660,183,CBC,L,4.6998
2901660,135,DFC,R,7.118360000000001
2901660,135,DFC,L,7.044760000000001
2901660,144,DFC,L,6.09999
2901660,144,DFC,R,6.83276
2901660,182,DFC,L,5.6883
2901660,183,DFC,L,6.4225400000000015
2906872,135,CBC,L,5.28372
2906872,144,CBC,L,5.67595
2906872,144,CBC,R,4.95762
2906872,182,CBC,L,5.06077
2906872,183,CBC,L,4.86026
2906872,135,DFC,R,5.2575699999999985
2906872,135,DFC,L,5.13771
2906872,144,DFC,R,5.28875
2906872,144,DFC,L,5.16616
2906872,182,DFC,L,5.37054
2906872,183,DFC,L,5.294580000000002
2921456,135,CBC,L,5.9529999999999985
2921456,144,CBC,L,8.29452
2921456,144,CBC,R,7.97181
2921456,182,CBC,L,7.32152
2921456,183,CBC,L,7.49786
2921456,135,DFC,R,5.64149
2921456,135,DFC,L,6.25738
2921456,144,DFC,R,6.70959
2921456,144,DFC,L,6.8524699999999985
2921456,182,DFC,L,6.20791
2921456,183,DFC,L,6.52346
2953751,135,CBC,L,5.53967
2953751,144,CBC,R,5.08133
2953751,144,CBC,L,5.15448
2953751,182,CBC,L,4.679119999999998
2953751,183,CBC,L,5.9745599999999985
2953751,135,DFC,L,4.83976
2953751,135,DFC,R,5.01998
2953751,144,DFC,R,4.87862
2953751,144,DFC,L,5.03786
2953751,182,DFC,L,5.75221
2953751,183,DFC,L,5.09812
2956502,135,CBC,L,5.21111
2956502,144,CBC,R,4.18919
2956502,144,CBC,L,4.34039
2956502,182,CBC,L,3.7905
2956502,183,CBC,L,4.99576
2956502,135,DFC,L,4.75065
2956502,135,DFC,R,4.75799
2956502,144,DFC,L,4.76431
2956502,144,DFC,R,3.84982
2956502,182,DFC,L,4.6508
2956502,183,DFC,L,4.5960800000000015
2959039,135,CBC,L,6.14659
2959039,144,CBC,L,4.22207
2959039,144,CBC,R,4.37319
2959039,182,CBC,L,4.05348
2959039,183,CBC,L,4.151
2959039,135,DFC,L,8.79102
2959039,135,DFC,R,8.44594
2959039,144,DFC,R,8.04885
2959039,144,DFC,L,8.59903
2959039,182,DFC,L,7.504119999999999
2959039,183,DFC,L,7.64117
2962767,135,CBC,L,5.99242
2962767,144,CBC,L,6.79379
